Latitude,Longitude
-4.61524,104.30829
-4.55305,104.24959
-4.55253,104.25304
-4.51552,104.11616
-4.42154,104.26784
-4.36635,104.1604
-4.35802,104.21558
-4.34095,104.21655
-4.32757,104.26036
-4.32426,104.25986
-4.22309,104.74824
-4.20591,104.16628
-4.01385,104.38331
-4.00917,104.54828
-4.009,104.52708
-3.95393,104.53291
-3.95062,104.53242
-3.92235,104.5383
-3.91956,104.53436
-3.91904,104.5378
-3.91312,104.6216
-3.90973,105.62142
-3.90595,105.87133
-3.88673,105.1974
-3.88377,105.2616
-3.88043,105.2611
-3.87816,105.25357
-3.85873,104.57812
-3.85647,104.57073
-3.85005,105.8963
-3.82665,105.56807
-3.82369,105.23425
-3.82328,105.56756
-3.82089,105.23023
-3.81421,105.22922
-3.80199,105.75146
-3.79926,105.58949
-3.79861,105.75095
-3.79296,105.74271
-3.7924,105.74632
-3.79078,103.81592
-3.79013,105.7386
-3.78958,105.7422
-3.78694,103.81887
-3.78537,104.70407
-3.77701,105.54208
-3.77365,105.54158
-3.77352,104.60336
-3.77091,105.44656
-3.77021,104.60286
-3.76318,105.77882
-3.76262,105.78242
-3.76096,104.61912
-3.76095,105.79325
-3.76035,105.7747
-3.74967,105.56351
-3.74912,105.56708
-3.74484,105.37016
-3.7443,105.37369
-3.74322,105.38076
-3.74203,105.36611
-3.74149,105.36965
-3.7349,103.73682
-3.73196,104.72082
-3.72755,105.37116
-3.72606,103.63856
-3.72475,105.36712
-3.72429,105.82093
-3.72327,103.6346
-3.72312,105.51206
-3.72274,103.63807
-3.72258,105.51562
-3.7214,105.36662
-3.71967,105.35551
-3.71913,105.35904
-3.71859,105.36257
-3.71823,105.40958
-3.71805,105.36611
-3.71703,105.52937
-3.71696,105.37318
-3.7166,105.4202
-3.71578,105.35854
-3.71485,105.54363
-3.69651,105.38028
-3.6956,104.60178
-3.69544,105.29703
-3.69418,103.84956
-3.6924,105.53293
-3.69023,105.74914
-3.69005,105.68277
-3.68968,105.75275
-3.68959,105.52884
-3.68218,104.57857
-3.68217,104.71287
-3.67653,105.39898
-3.65931,105.79255
-3.65592,105.79205
-3.65186,105.38081
